[MODS_DICT_UPDATE] req_id=12, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 6}, '32-QAM': {'c': 4}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=13, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 7}, '32-QAM': {'c': 4}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=14, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 9}, '32-QAM': {'c': 4}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=15, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 10}, '32-QAM': {'c': 4}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=16, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 10}, '32-QAM': {'c': 5}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=17, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 3}, '16-QAM': {'c': 10}, '32-QAM': {'c': 5}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 1, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=18, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 3}, '16-QAM': {'c': 10}, '32-QAM': {'c': 7}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 1, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 4, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=19, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 3}, '16-QAM': {'c': 10}, '32-QAM': {'c': 9}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 1, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 1, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 6, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=20, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 3}, '16-QAM': {'c': 11}, '32-QAM': {'c': 9}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 1, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 2, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 6, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=21, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 2}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 3}, '16-QAM': {'c': 12}, '32-QAM': {'c': 9}, '64-QAM': {'c': 3}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 1, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 2, '32-QAM': 2, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 4, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 6, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
